Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,25.6,33.8,17.9,1008.7,47,0,2.1,4.4,13
2,25.7,36,17.8,1009,50,6.1,1.8,9.3,14.8
3,25.1,36,18.3,1009.5,56,0,2.7,9.1,18.3
7,29.5,37,18.5,1005.2,30,0,1.9,10.6,22.2
8,29.2,37.5,20,1006.1,38,0,2.6,5.9,14.8
9,31.1,37.8,21.7,1005.6,34,-,1.8,8.1,27.8
13,29.8,36.6,21.4,1007.8,37,0,1.9,8.1,18.3
14,28.2,36.6,21.9,1007.1,45,2.03,1.9,6.5,16.5
15,28.3,36.4,20.1,1004,47,0,1.9,6.3,14.8
19,29.3,37.9,20.3,1002.9,35,0,2.3,4.4,11.1
20,30.5,38.6,20.7,1003.4,36,0,1.9,7.6,14.8
21,28,38.6,23.8,1007.3,48,0,2.3,15.6,25.9
25,31.1,38.5,23.2,1007.7,45,0,1.9,3.7,7.6
26,29.9,38.5,24.3,1008.3,53,0,1.9,6.7,22.2
27,31.4,37.8,22,1006.9,38,0,2.3,13.7,22.2
