Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,31.4,39.2,22.8,1002.9,24,0,1.9,11.5,25.9
2,29.9,38.8,21.7,1000.8,29,0,1.9,12,24.1
3,29.7,38.3,21.6,999.3,35,0,1.9,10.2,22.2
7,32.8,40.8,25.3,1002,36,0,1.8,7.2,24.1
8,34.1,42,23.7,1001.4,29,0,1.9,9.3,18.3
9,34.1,42,26.8,1000.8,32,0,1.9,7.8,14.8
13,30.9,37.6,23.2,1003.7,44,0,1.9,3.5,11.1
14,32.9,39.8,24.7,1001,38,0,1.9,5.6,13
15,30.6,37.4,24.8,1000.8,47,0,1.9,2.2,7.6
19,36.2,44.6,25.9,999.2,29,0,1.9,15,27.8
20,36.2,44.6,29.2,999.1,32,0,1.9,10.6,18.3
21,36.8,45.1,28,999.1,26,0,1.9,12,25.9
25,37.7,45,30.5,998.1,32,0,1.9,10,22.2
26,36.2,43.6,29.3,998.4,32,0,2.3,8.1,20.6
27,35.6,42.6,30.2,999.3,41,0,1.9,8.1,20.6
31,33.6,40.6,24.8,998.8,47,0,1.9,10.6,18.3
