Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,33.9,39.2,27.8,995.2,62,0,1.9,8.9,14.8
2,32.8,37.6,28.4,995.8,67,-,1.9,9.3,18.3
3,31.6,37.6,26.9,997.5,76,2.03,1.9,6.5,11.1
7,31.1,35,27.9,1000.1,81,0,1.9,7.2,11.1
8,30.3,35.8,27.2,997.5,78,0,1.9,7.6,14.8
9,29.2,35.4,24.6,996.4,81,2.03,1.8,7.4,14.8
13,31.8,36.7,25.8,998.8,75,21.08,1.9,8.3,14.8
14,31.1,37.2,28.2,997.5,76,0,1.9,3.9,11.1
15,31.7,37.2,26.8,998.3,78,4.06,1.9,7.8,11.1
19,30.9,35.4,25.8,995,77,7.11,1.9,10.4,18.3
20,26.8,35.4,24.2,999,93,0,1.1,6.3,14.8
21,29.1,33.8,23.9,996.3,86,122.94,1.4,2.6,55.4
25,28.5,34.4,26.3,995.5,87,19.05,1.6,7,14.8
26,30.4,35.1,24.8,995.2,77,8.89,1.9,5.2,14.8
27,30,35.5,26.2,997.5,83,2.03,1.9,3.7,11.1
31,29,33.7,26.9,996.5,82,0,1.9,9.8,14.8
