Day,T,TM,Tm,SLP,H,PP,VV,V,VM
1,18.2,26.1,12.2,1016.3,54,0,1.9,24.4,33.5
2,19,26.8,11.7,1016.3,58,0,2.6,16.7,29.4
3,18.7,27.8,13.3,1016.2,69,0,2.4,7.4,25.9
7,22.6,30.6,15.7,1015.4,62,0,2.6,8.1,20.6
8,22.5,31.8,13.7,1014.6,57,0,2.3,5.9,14.8
9,24,33.8,13.6,1009.7,53,0,1.9,4.6,18.3
13,23.8,33,14.9,1010.4,64,0,1.9,3.9,11.1
14,22.6,33,18.1,1013.1,67,0,2.1,11.3,22.2
15,23,30,14.4,1016.1,55,0,2.7,6.7,14.8
19,24.6,31.7,17.9,1008.5,68,0,2.3,14.1,27.8
20,27.1,34.8,17.7,1009.7,52,0,1.6,6.1,11.1
21,26.1,34.8,17.9,1008.8,54,0.51,2.6,11.9,18.3
25,23.6,34.3,17.7,1010.4,51,0,2.6,15.9,22.2
26,23.2,29.6,16.7,1008.6,54,0,1.9,13.1,22.2
27,23.8,30.9,16.7,1009,52,0,1.6,6.5,13
31,24.7,31.5,17,1008.6,57,0,2.1,7.6,14.8
